# rec5: colour tag A/B, same session (srgb = IOSurface tagged sRGB, nosrgb = WT_PM_COLORSPACE=none, rssrgb = tagged + WT_PM_RESAMPLE=1)
| run | lit % | lit mean lum | lit p99 lum | lit sat | lit hue | high-pass std / lit std | frames |
|---|---|---|---|---|---|---|---|
| web7 | 20.2 | 53.6 | 162 | 107 | 130 | 0.59 | 47 |
| srgb1 | 16.4 | 57.7 | 156 | 118 | 93 | 0.53 | 56 |
| srgb2 | 16.2 | 58.3 | 161 | 121 | 90 | 0.53 | 59 |
| nosrgb1 | 16.4 | 60.0 | 156 | 150 | 100 | 0.51 | 60 |
| rssrgb1 | 26.3 | 65.0 | 159 | 128 | 81 | 0.46 | 57 |

# rec1/rec4 (before the tag): all native untagged
| run | lit % | lit mean lum | lit p99 lum | lit sat | lit hue | high-pass std / lit std | frames |
|---|---|---|---|---|---|---|---|
| web1 | 27.3 | 66.4 | 169 | 109 | 98 | 0.43 | 58 |
| web2 | 27.2 | 59.9 | 151 | 122 | 85 | 0.46 | 49 |
| web3 | 29.0 | 71.7 | 164 | 121 | 80 | 0.43 | 48 |
| web4 | 37.2 | 69.3 | 163 | 121 | 94 | 0.44 | 56 |
| web5 | 17.1 | 58.1 | 169 | 111 | 95 | 0.55 | 52 |
| web6 | 20.3 | 60.7 | 153 | 118 | 115 | 0.53 | 51 |
| native1 | 15.3 | 57.2 | 159 | 152 | 105 | 0.53 | 66 |
| native2 | 16.5 | 55.6 | 154 | 151 | 103 | 0.54 | 60 |
| rs1 | 24.5 | 62.2 | 165 | 148 | 93 | 0.49 | 57 |
| bc1 | 13.7 | 55.4 | 152 | 148 | 99 | 0.58 | 55 |
| bc2 | 16.0 | 57.7 | 145 | 150 | 94 | 0.56 | 58 |
